Tyrannidae,"Flycatchers, Pewees, Phoebes, & Kingbirds"
Tytonidae,Barn Owls
Ulmaridae,Jellyfish
Umbridae,Mudminnows
Urotrygonidae,Round Rays
Ursidae,Bears
Varunidae,Crabs
Vespertilionidae,Evening & Vesper Bats
Vespidae,Vespid Wasps
Viperidae,Vipers
Vireonidae,Vireos
Xantusiidae,Night Lizards
Yponomeutidae,Ermine Moths
Zopheridae,Zopherid Beetles
Zygaenidae,Smoky Moths
